"ts";"lat";"lon";"alt";"hdg";"spd";"LOD"
"2017-02-03 07:28:00.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:02.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:04.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:06.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:08.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:10.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:12.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:14.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:16.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:18.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:20.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:22.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:24.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:26.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:28.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:36.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:38.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:40.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:42.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:44.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:46.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:48.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:50.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:51.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:53.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:55.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:57.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:28:59.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:01.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:03.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:05.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:07.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:09.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:11.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:13.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:15.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:17.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:19.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:21.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:23.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:25.000000";"38.7412";"-9.16597";"82";"231";"0";"1"
"2017-02-03 07:29:27.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:29:29.000000";"38.7412";"-9.16597";"82";"231";"0";"1"
"2017-02-03 07:29:31.000000";"38.7412";"-9.16605";"79";"196";"6.4";"0"
"2017-02-03 07:29:32.000000";"38.7412";"-9.16606";"80";"194";"10.6";"0"
"2017-02-03 07:29:34.000000";"38.7411";"-9.16607";"80";"211";"10.7";"0"
"2017-02-03 07:29:36.000000";"38.7411";"-9.16612";"80";"241";"12.1";"0"
"2017-02-03 07:29:38.000000";"38.7411";"-9.16619";"81";"274";"10.3";"0"
