"ts";"duration"
"2017-02-03 11:03:54.000000";"3594"
"2017-02-03 11:04:00.000000";"18008"
"2017-02-03 11:04:19.000000";"4966"
"2017-02-03 11:04:28.000000";"80828"
"2017-02-03 11:05:55.000000";"4416"
"2017-02-03 11:06:03.000000";"35714"
"2017-02-03 11:06:40.000000";"7461"
"2017-02-03 11:06:47.000000";"4359"
"2017-02-03 11:06:55.000000";"3908"
"2017-02-03 11:07:00.000000";"5434"
"2017-02-03 11:07:05.000000";"1034"
"2017-02-03 11:07:28.000000";"14600"
"2017-02-03 11:07:43.000000";"10409"
"2017-02-03 11:08:04.000000";"19535"
"2017-02-03 11:08:04.000000";"19535"
"2017-02-03 11:08:30.000000";"14957"
"2017-02-03 11:08:58.000000";"5749"
"2017-02-03 11:09:04.000000";"7481"
"2017-02-03 11:09:13.000000";"3593"
"2017-02-03 11:09:18.000000";"12671"
"2017-02-03 11:09:35.000000";"12949"
"2017-02-03 11:09:49.000000";"9961"
"2017-02-03 11:09:59.000000";"20848"
"2017-02-03 11:10:20.000000";"10432"
"2017-02-03 11:10:31.000000";"16987"
"2017-02-03 11:10:48.000000";"4197"
"2017-02-03 11:10:52.000000";"2334"
"2017-02-03 11:10:56.000000";"3608"
"2017-02-03 11:11:00.000000";"11942"
"2017-02-03 11:14:03.000000";"70902"
"2017-02-03 11:15:20.000000";"3572"
"2017-02-03 11:15:24.000000";"5883"
"2017-02-03 11:15:30.000000";"4787"
"2017-02-03 11:15:35.000000";"6581"
"2017-02-03 11:15:42.000000";"4847"
"2017-02-03 11:15:47.000000";"6283"
"2017-02-03 11:15:53.000000";"3793"
"2017-02-03 11:15:58.000000";"5893"
"2017-02-03 11:16:04.000000";"4475"
"2017-02-03 11:16:10.000000";"7039"
"2017-02-03 11:16:10.000000";"7039"
"2017-02-03 11:16:17.000000";"4120"
"2017-02-03 11:16:28.000000";"23594"
"2017-02-03 11:16:51.000000";"23525"
"2017-02-03 11:17:15.000000";"2150"
"2017-02-03 11:17:18.000000";"5884"
"2017-02-03 11:17:24.000000";"15056"
"2017-02-03 11:17:50.000000";"5879"
"2017-02-03 11:17:56.000000";"1702"
"2017-02-03 11:18:11.000000";"6409"
"2017-02-03 11:18:19.000000";"1223"
"2017-02-03 11:18:32.000000";"1369"
"2017-02-03 11:18:37.000000";"2254"
"2017-02-03 11:18:58.000000";"16495"
"2017-02-03 11:19:19.000000";"1026"
"2017-02-03 11:19:41.000000";"1042"
"2017-02-03 11:20:56.000000";"24601"
"2017-02-03 11:21:27.000000";"20817"
"2017-02-03 11:21:51.000000";"30710"
"2017-02-03 11:22:29.000000";"35233"
"2017-02-03 11:23:07.000000";"46895"
"2017-02-03 11:23:54.000000";"19421"
"2017-02-03 11:24:17.000000";"58637"
"2017-02-03 11:24:17.000000";"58637"
"2017-02-03 11:25:47.000000";"12402"
"2017-02-03 11:26:04.000000";"43573"
"2017-02-03 11:27:15.000000";"11041"
"2017-02-03 11:27:32.000000";"1002"
"2017-02-03 11:27:35.000000";"34698"
"2017-02-03 11:27:35.000000";"34698"
"2017-02-03 11:28:12.000000";"6926"
"2017-02-03 11:28:24.000000";"22533"
"2017-02-03 11:28:52.000000";"1704"
"2017-02-03 11:28:56.000000";"3744"
"2017-02-03 11:29:03.000000";"2456"
"2017-02-03 11:29:09.000000";"9356"
"2017-02-03 11:29:21.000000";"1043"
"2017-02-03 11:29:29.000000";"11411"
"2017-02-03 11:29:42.000000";"1925"
"2017-02-03 11:29:44.000000";"25683"
"2017-02-03 11:30:10.000000";"14196"
"2017-02-03 11:30:25.000000";"3271"
"2017-02-03 11:30:32.000000";"5765"
"2017-02-03 11:30:42.000000";"1513"
"2017-02-03 11:30:46.000000";"1622"
"2017-02-03 11:30:48.000000";"3902"
"2017-02-03 11:30:53.000000";"1732"
"2017-02-03 11:30:59.000000";"2828"
"2017-02-03 11:31:17.000000";"15056"
"2017-02-03 11:31:42.000000";"20238"
"2017-02-03 11:32:03.000000";"8789"
"2017-02-03 11:32:41.000000";"4646"
"2017-02-03 11:36:55.000000";"1333"
"2017-02-03 11:36:58.000000";"6858"
"2017-02-03 11:37:05.000000";"1585"
"2017-02-03 11:37:15.000000";"3415"
